Data_value,95%_HDI_lower,95%_HDI_higher,p_value
0.0,-1.3826201822567419,1.364323213306607,0.5066
0.0,-1.3396889967292982,1.4322986709333785,0.51165
0.0,-1.339882951895526,1.389652857238715,0.5296
0.0,-1.3380830064313907,1.3975044063426314,0.537
0.0,-1.24311687746542,1.4738908124676755,0.54975
0.0,-0.7702755465030037,1.8520992422517346,0.80425
0.0,-1.2145653722542433,1.4830417357161962,0.5908
0.0,-1.36266830640766,1.336784570561576,0.5036
0.0,-1.316861643694898,1.3600046662002354,0.501
0.0,-1.2188023913405879,1.507701215783686,0.5683
0.0,-1.327767126075349,1.4252936780520233,0.52865
0.0,-1.3022788429417347,1.4179062862514034,0.52385
0.0,-1.2144514010824952,1.5182221886353848,0.58245
0.0,-1.3094529821077387,1.41009163771098,0.5137
0.0,-1.2202252430490632,1.533632132940284,0.5904
0.0,-1.7788862267726469,0.7277238880808546,0.21585
0.0,-1.8420571627475903,0.6369820390226074,0.18355
0.0,-1.6856739885597554,0.8886853988295651,0.283
0.0,-1.2985292527736412,1.3774499198769812,0.50175
0.0,-1.3915096054102363,1.3478033721764189,0.494
0.0,-1.4525023772953685,1.3321472826921918,0.48355
0.0,-1.2449253481239242,1.2377316172425923,0.47445
0.0,-1.404099106773236,1.3196822053312185,0.4928
0.0,-1.2688948912548224,1.2781528218017295,0.51665
0.0,-1.2517089434792428,1.2764671935981688,0.51235
0.0,-1.38121541622581,1.3599882204290217,0.4916
0.0,-1.3686674442919824,1.3700591467435963,0.49075
0.0,-1.3735469386977588,1.3213095759772127,0.49245
0.0,-1.3885336335108223,1.3465218917360382,0.4872
0.0,-1.3428932264489406,1.3779924265476553,0.4929
0.0,-1.0822917138077919,1.3977912637997512,0.59335
0.0,-1.3481270339648996,1.3086496876327418,0.4909
0.0,-1.2930886458850268,1.4085288304547023,0.54605
0.0,-1.3065001805432228,1.3873264978326072,0.5138
0.0,-1.4189288850411346,0.8862548025116754,0.3278
0.0,-1.4383883864372469,1.1908539249166137,0.4262
0.0,-1.245778340192586,1.1925198500156242,0.50575
0.0,-1.1659128896145565,1.2394122892228314,0.51115
0.0,-1.3408942056154807,1.3774292323392598,0.51805
0.0,-1.2770744390618587,1.1959752957062082,0.5067
0.0,-1.4256929784605274,1.1963536913331607,0.45295
0.0,-1.361374253546841,1.2957615554640398,0.4671
0.0,-1.1264807305670257,1.034953939157878,0.4498
0.0,-1.1872204688003465,0.8514670176450888,0.3784
0.0,-1.4204515575452805,1.3487364812325184,0.4902
0.0,-1.4508473149862051,1.3321882213317897,0.4818
