Data_value,95%_HDI_lower,95%_HDI_higher,p_value
37.2,30.064977907224694,45.59855279226509,0.57595
35.4,28.922673614933874,43.57611541101493,0.5777
1.8,1.3135791156610046,2.3055350737041027,0.495
29.8,24.564418045921855,37.13108519792539,0.59935
5.6,4.067285251062155,6.9899420650057955,0.4763
29.7,24.248924741573955,36.88290592913221,0.61
0.1,1.2654195388539513e-05,0.32671197971239896,0.6224
0.2,3.0132318483186427e-05,0.4149586216656872,0.48435
1.0,0.7340775575612277,1.284947494971293,0.53925
0.8,0.5717319804800745,1.1026161597255553,0.61215
1.3,0.9422837315498711,1.6597911537352563,0.4989
3.2,2.306358173497026,4.037724014141868,0.4974
0.04,1.473233337861285e-06,0.25316965457634727,0.78875
1.4,1.02051922298472,1.7937964064197414,0.5048
3.4,2.48297424035533,4.263048175600963,0.47905
2.5,1.8105300336168888,3.1445085849751897,0.48785
0.9,0.6207648095391303,1.175555454548815,0.4994
1.2,0.8758560315645278,1.5314617799344685,0.49455
0.4,0.1169951790043498,0.6597878752117983,0.476
1.7,1.237231066029625,2.1728037638725066,0.4973
1.9,1.376409386204894,2.4119704162253632,0.497
1.2,0.860754546660221,1.5252231252650623,0.4718
3.2,2.3252495286286057,4.083917482057728,0.48675
4.7,3.4128050025320427,5.909213286835004,0.47775
0.2,2.1656390857799357e-05,0.42426557635469564,0.49345
29.4,24.230146927151118,36.66614184428828,0.6357
9.3,6.068414282303216,10.380393473634662,0.15905
10.8,8.451582501240738,13.729284678535507,0.58775
10.4,8.722613654067834,13.967121943629575,0.74685
11.6,9.750090941809933,15.516115745587072,0.76335
11.1,9.352928226756527,14.364971690766431,0.72485
6.4,5.1386006809555385,8.373889787567935,0.65115
5.8,4.540438088105182,7.484127417067823,0.604
17.3,13.491968192284755,21.2084023593148,0.50545
5.8,4.335204501279068,7.227653911717397,0.4984
21.7,17.142257344519216,26.45873080548686,0.52345
1.4,1.0634074858808535,1.774888717011684,0.55145
12.1,8.875794110009323,14.767819816757436,0.4306
7.7,5.669140900563306,9.694954618919535,0.50875
0.3,0.13412911498467378,0.6535968826054039,0.73855
2.8,2.1276754992800675,3.634042477522648,0.61515
4.2,3.2392775723053844,5.31749342218991,0.5567
3.1,2.3560351869483585,3.9682810279808716,0.5462
3.7,2.7876401236405375,4.766419825005695,0.5558
3.8,2.839992153869576,4.81277823478084,0.5273
2.4,1.7989246022113614,3.102183312150607,0.56655
3.8,2.8869671048755907,4.931257373234925,0.58845
1.6,1.2203591150925726,2.073365971627594,0.59395
0.8,0.5803283665164181,1.120834039744492,0.6278
9.8,7.589063476172684,12.153698782790249,0.5113
0.9,0.6577450331513086,1.209294646796675,0.58095
24.8,20.406782638922746,30.81033247499674,0.6072
8.0,6.270328522390596,9.636721792386023,0.4721
