Variable Name,95%_HDI_width
Casting to ShapeCasting,12.51960638429022
Casting to Extrusion,11.813197376866782
Casting to SheetAndPlate,8.403780297913274
RecycleRefining to ShapeCasting,6.943846376188966
RecycleRefining to Extrusion,6.486414427974846
Remelting to ShapeCasting,6.058677204818593
InternalRefining to ShapeCasting,5.889278203287241
Remelting to Extrusion,5.73350280218025
InternalRefining to Extrusion,5.549980693683758
Stock of Reserves,5.4248215410830625
