Data_value,95%_HDI_lower,95%_HDI_higher,p_value
0.277,0.2258204894240426,0.3654908231418662,0.69725
0.723,0.5564239218999153,0.8537628356296727,0.40845
0.373,0.2985417244696949,0.48090194251843765,0.65765
0.627,0.47422267591293876,0.7432758885183544,0.3958
0.28,0.21948325876986738,0.3660822099011327,0.6178
0.72,0.5622611084684533,0.8542953508502719,0.43865
0.1323,0.09372163719677575,0.16523937912891046,0.4521
0.1127,0.07981622627218822,0.1412995828923801,0.4586
0.755,0.611024163321647,0.9139032014746522,0.5221
0.245,0.18000497502865573,0.310238998962876,0.50315
0.755,0.6033333334782642,0.9093682937676422,0.49685
0.51775,0.40597813692231793,0.6212430385756063,0.466
0.02725,-0.0012174042199562946,0.052357038695765884,0.45995
0.455,0.363655273420846,0.5558102243057882,0.54145
0.1323,0.09724707100805641,0.16944536669625687,0.5122
0.1127,0.0826612780161976,0.1449411235851408,0.50895
0.755,0.6039592020398008,0.9041825728826313,0.4922
0.05978,0.032933140809998235,0.08794060514575221,0.4975
0.03822,0.00983166122840894,0.06434304903380011,0.46835
0.9,0.7181239650420548,1.075934001570029,0.4937
0.002,-0.015232848444200949,0.027266349665038964,0.62875
0.092512,0.06544664899899302,0.12042036326575553,0.50295
0.064288,0.03665046853631449,0.0916339985637236,0.4777
0.84,0.6696734208933026,1.0027774092914652,0.48215
0.0032,-0.015315388545248833,0.029296945975961813,0.6375
0.23128,0.17000056988369727,0.2951569518097914,0.49785
0.16072,0.1153173619810755,0.2031804283291722,0.4876
0.6,0.4680611118902586,0.7245524554623133,0.48445
0.008,-0.012441638365387232,0.03593538384540459,0.60245
0.11564,0.08403965142672283,0.14732056619459874,0.49275
0.08036,0.05197132371022842,0.1071328035659531,0.48945
0.8,0.6345202283922622,0.9525737566774761,0.4764
0.004,-0.014275029454333902,0.03255676067630818,0.6608
0.245,0.1792447682936055,0.31000428287863546,0.49505
0.75,0.5863573251206122,0.8941618577057473,0.4808
0.005,-0.01299519670768821,0.03312978413445454,0.6369
0.245,0.18027818051411995,0.31211658012735854,0.4932
0.75,0.5945501905592817,0.9013231290551944,0.4847
0.005,-0.013476730114809883,0.033691963285621025,0.64345
0.15435,0.11405386591286348,0.19758101203902986,0.5083
0.09065,0.063464509636372,0.11836948700793828,0.492
0.75,0.5938280562868499,0.8921801028608842,0.4787
0.005,-0.013780289861259202,0.03295947614312511,0.6408
0.098,0.06983904096439153,0.12474794265036193,0.4886
0.9,0.7194324585991874,1.0727624590787026,0.4752
0.002,-0.013982966360768616,0.03122614319173602,0.70685
0.196,0.14159383877939352,0.24747636796679617,0.48775
0.8,0.6305391614110731,0.9524171952697996,0.4796
0.004,-0.013705747390180743,0.03299750327759036,0.65815
0.10388,0.07491473595931175,0.1316377858453446,0.48565
0.09212,0.06250655170199498,0.11837375335710174,0.4881
0.8,0.6368228458596219,0.9560238287934163,0.4777
0.004,-0.01409869225628484,0.03226844091965377,0.6579
0.10388,0.07558446754236255,0.13332109218143343,0.4962
0.09212,0.06503884583097139,0.12004065238172605,0.49565
0.8,0.6334740574791868,0.9527644539022577,0.47395
0.004,-0.01306242401416141,0.03377508881180025,0.67245
0.10388,0.07474120727848313,0.1316654563135308,0.49705
0.09212,0.06406018240953018,0.11928481819130107,0.4953
0.8,0.63649774209807,0.9604082137319205,0.47635
0.004,-0.014082526233876938,0.033080755067454885,0.6709
0.18,0.13306816515264094,0.22803876183731486,0.5154
0.72,0.5757180543996117,0.8660701321276134,0.48055
0.05,0.023098374887516794,0.07795088195188135,0.49585
0.05,0.02897697578375037,0.07813375264201237,0.6059
0.15,0.11034201220435277,0.19133523518173248,0.51375
0.02,-0.005126162407616715,0.04765050398476953,0.52135
0.12,0.08763165993257552,0.15267508636309277,0.5029
0.67,0.52754316900058,0.8046994160523351,0.4801
0.04,0.016189616970646137,0.06905668780700226,0.5481
0.5,0.37782709871618225,0.6186661477019406,0.50585
0.5,0.37716302117048955,0.6157800815961004,0.49275
0.15,0.10830404292474913,0.19016964573698467,0.49475
0.02,-0.005977350022764257,0.04734800946635283,0.5196
0.12,0.08456768491830147,0.15120765838763342,0.49255
0.67,0.532063193359466,0.8101385711132113,0.49385
0.04,0.012627435011517925,0.06735842783892447,0.5243
0.38,0.29306417253678113,0.4772407956655988,0.5467
0.39,0.2990045313680883,0.4874876002864547,0.5276
0.22,0.16229332091785795,0.279303906368406,0.51285
0.33,0.24457225658313675,0.40756042471196374,0.47085
0.25,0.18193334527219887,0.3118857055149872,0.47745
0.22,0.15997554040746287,0.2750947533650664,0.4716
0.21,0.1509590821293616,0.2622199162083152,0.46255
0.45,0.35735313568433835,0.5616088375639806,0.5513
0.19,0.14163020724678507,0.2413855666012913,0.52575
0.17,0.12591824962194134,0.21698586514859997,0.51135
0.18,0.13258535100086155,0.23062933545608413,0.51635
0.17,0.123690388011324,0.2155716945667097,0.4918
0.18,0.1316192424559895,0.2278860803542493,0.49325
0.16,0.11769043469626948,0.20362633971174382,0.48915
0.49,0.38558846511664163,0.6007068196734318,0.50175
