Variable Name,95%_HDI_width
Casting to ShapeCasting,12.698454504340217
Casting to Extrusion,11.723322907847383
Casting to SheetAndPlate,8.317389002915371
RecycleRefining to ShapeCasting,7.1924321360855865
RecycleRefining to Extrusion,6.649929211807775
Remelting to ShapeCasting,6.16779430118745
InternalRefining to ShapeCasting,6.022399294942105
Remelting to Extrusion,5.7684811505709055
InternalRefining to Extrusion,5.653634597589636
RecycleRefining to SheetAndPlate,5.510346411599321
