WireAndCable_to_RecycleRefining,ShapeCasting_to_Manuf_TAU,Extrusion_to_Manuf_BC,Manuf_CD_to_Use_CD,Manuf_TAU_to_Remelting
1.2724897299745177,5.588704190694115,8.936028277089072,2.998587416373592,0.8181433427878704
1.6563834961871615,5.344297088100195,7.965117645845093,2.8654208059371835,0.7226627353471594
1.2619661765005619,4.8512813669019375,8.108373854693012,2.9231427852588263,0.6923749730916028
1.6401381427535344,5.502976479396685,8.742335420711656,2.692353139317449,0.6731182882324379
1.148301962173303,5.379738883248822,8.387143897268391,2.811589600581666,0.877360273713736
1.2524141785771814,5.465240330811405,8.772480659752286,2.7963027864062733,0.8364475208016453
1.719984279154111,5.625141079458822,8.84465973646486,2.770120331051708,0.859748283220331
1.2665092701936087,5.013815714120607,8.74427133436595,3.0593209292106,0.6501286563647105
1.6164702775655462,5.116975700584709,8.654823693789497,3.100175730456647,0.7667235758697724
1.6989800591394884,4.440189309242971,7.7347731656133485,3.4757405094372475,0.5798861212533778
1.2844452871128187,5.473469682500992,8.219083176837643,2.9118994411073427,0.7875353840371634
1.4402215055857743,5.831735967466788,7.917619909580649,3.189694943839784,0.8842475711727501
1.3030726991124317,5.259676171781337,8.785180940589893,2.8453680214420647,0.6863724303704972
1.3348993164721767,5.49591263007095,7.668150336188695,3.4805948234145303,0.8154037832581225
1.357915163217243,5.195850660021782,8.142511728600603,3.5437082616379527,0.6505683746046872
1.2399125351717237,5.273095663725158,8.151310781625618,3.4215101320601686,0.8564914935816812
1.4643745908177692,5.314004796751345,8.594672990390473,3.296523443864364,0.6154539183382908
1.5993981007510845,4.584416003374891,8.40491692892606,3.746314202710776,0.6943477598110009
1.6133395570946993,4.600263641323744,8.885373046060742,3.619640677205773,0.669333485076728
1.400196485536198,5.56242589405295,7.075562285683386,3.677448746263382,0.7295990820272679
1.5705521426051556,4.844033447927374,8.475635832718432,3.3276790812537893,0.5451111869833902
1.5228398054860208,4.897030410224578,8.805827749931078,3.2871432611769418,0.745672153618968
1.265315227638812,4.963666697057929,8.274813203832142,3.2292106982793576,0.5734482001983887
1.3045485506166177,4.706960358412798,8.765409179574016,2.998522242968885,0.6101693130672852
1.5393445024058954,5.068954791878863,9.697751796641123,3.5741419227505515,0.7402181408888809
1.2799944759815993,4.72867737123942,9.126094030255656,3.01169489717381,0.6287277280383087
1.4392436301281675,5.216723679019087,9.135672317457457,2.653650749079588,0.7544204750411907
1.2932633580788258,5.240312578291896,8.51642411003258,2.6233015477806263,0.6882906125022072
1.4949186138149788,5.457315769335332,8.451540607665944,2.660756869895972,0.8328088926092181
1.319182773669143,5.648512486252188,8.22220833112115,2.6470880529104246,0.7661274206237954
1.7483506060754381,5.318915648053061,8.090618186639452,3.3274321209854416,0.7868215177140417
1.5379328704033832,5.339918318573336,8.897312753375045,3.4294412611330976,0.7303359831261311
1.5571163503666965,5.038220083674956,8.028640111463654,3.551864393507794,0.6319867775532119
1.374215286272133,4.783570851204573,8.671822391186087,3.2378781826766136,0.7697853455947673
1.2645847902373968,5.310928426231285,8.706713055171427,3.405035824387938,0.6342105774302247
1.3657425161134664,5.313130030011321,8.737479732494858,2.96076236569964,0.8649218106898912
1.2804593457518696,5.950963046850936,8.713223295499589,3.0736506605944025,0.7581059680386609
1.4748811073554924,5.530815288773175,9.009719958063924,3.021211556642831,0.8772035680577498
1.288799342281484,5.4010261210571535,9.02016066695576,3.0139872340791056,0.8578354084395338
1.5480607484452262,5.62988899047826,8.913421954622388,2.8835830156963236,0.6947456389929647
1.4790891226630187,4.967988715506087,8.856313011948638,2.9852381806062844,0.6816998833614102
1.1714683110222892,5.193119521587917,9.099859951388565,2.7444656767497495,0.7029287274048728
1.3790294592878436,5.32592610918536,9.356064274645643,3.039473930534505,0.7853898276245277
1.3951823920487831,5.153608241639189,8.691164746213445,3.0292687102874445,0.7486111146483118
1.4094638776747892,5.185023128044847,9.12134516913309,3.154377522184166,0.7641989017933014
1.5841606317438974,5.516223897235097,9.079116852167926,3.1333670181707727,0.8447306222695755
1.5018162097110666,5.3237460405115655,7.918045074472458,2.762231321584952,0.7764436373484056
1.3431665483227635,4.882977400413721,8.284742995303828,3.049787048760118,0.6989271316439071
1.3932537334575517,4.63534202645052,8.72912211737371,2.656643062421999,0.8064733931888034
1.3843562781683405,4.893482721653362,8.63965337317492,2.577361955775682,0.5895644769425629
1.4473917896447563,4.616045232965384,8.297788750898471,2.3906674052954133,0.7796676394839008
1.4872897165803054,5.309779623409582,7.895148882167777,2.8615514308572685,0.651737830538618
1.504703150664189,4.92623725107985,8.278272304752328,2.7984030447064634,0.837822352334579
1.7473406814692454,4.691977333647108,7.765058126149923,2.802209595128673,0.457322827120147
1.2255203597821942,5.204690035683682,8.253076370589591,2.9391618826656765,0.9523517129541127
1.6475771542382611,4.873643693153987,7.365110376818873,3.1186622119099283,0.5245181571699823
1.7871517760062001,4.906968086160912,7.903252110671311,3.16851520377833,0.6699518317024407
1.1320478825609457,5.228081089013974,7.60998510773082,3.4455939176912778,0.7417910337325715
1.760260863750839,4.992949517534827,8.373392921527033,3.2160363933173155,0.6525571766141055
1.206131464214642,5.534265048712977,8.048020026192013,3.692644847406547,0.6821561655966825
1.7528736208542464,5.375345337284408,8.047032833173455,2.9162427949605543,0.5789090313979716
1.2752209337308105,4.595113235507682,8.482710347581472,2.8241920944545873,0.6895563027837829
1.4179294177006605,3.9626292618649033,8.635071859682808,3.3804703704594083,0.5842412622756848
1.3138558488300873,4.295344321281069,8.116507543946609,3.4028466087379283,0.6200846114121602
1.4013490464671277,5.367214821456589,9.012482506506315,3.20354242429308,0.7279065072296123
1.2832310829182894,5.342608253480054,8.588147509493544,3.1402229077789325,0.6059527342511667
1.3170872092691528,4.589204498122492,8.505811741945875,3.1035788420810246,0.7040575915293263
1.4187883814187572,5.422333087878434,8.112297757465972,2.8877222115013232,0.7263998912950914
1.3782994290932378,4.197836597370522,8.637944042762598,3.2907272441116993,0.6228946714670227
1.5293310826105648,4.81748191544263,8.645733252832226,3.0518199320211195,0.561823635443304
1.2851380113405968,5.274175540145272,8.233924893149984,3.5505368787016547,0.8901847346152477
1.6174810216185929,5.538197612660966,7.934226153703537,3.3722880083542264,0.6990952295292681
1.3349187911176585,6.148847713510458,7.743302131559577,3.304353949801251,0.8478630355351872
1.5628748255015632,5.944057722544818,7.365853681788555,3.4587612539864816,0.7870663010649076
1.4343653844075814,5.345942496179752,7.435502057163252,3.605725512378641,0.7956157447757716
1.463463965483927,5.30423681941637,7.225456536069977,3.5380302920508804,0.9228658935738487
1.4408530929679044,5.33262872538579,7.8768529766934625,3.2531331161212633,0.6066070023802971
1.4413043702891326,5.783276504707379,8.041834749958674,3.1229948657021853,0.935363526520539
1.6369553149322371,5.79230002325266,8.218545908305982,2.7999503898447546,0.8539544462921065
1.2752844824388738,5.265631488652071,8.24861942662882,3.0856792883695565,0.7393875728092483
1.481835833122134,5.123562126076085,8.977398790286433,3.1932635448460065,0.7489370095083305
1.313684463285362,5.110815217706866,8.84168992935889,3.124452999451195,0.7903801099455555
1.6270241040378757,5.167486035175656,7.716538292282804,3.2557824105187736,0.6985468029049181
1.3511451727553818,4.8970425336933685,7.991359869983304,3.4145614228030903,0.7578645722609154
1.163879886530404,4.920272136915313,7.873372881230914,3.3430196119023403,0.6333430780003507
1.5637805673451033,4.77713397920858,8.136701084675863,3.1551543562540476,0.4062275735233585
1.4298988659168619,5.297337800585496,7.665211661241591,3.6437950736729134,0.9351364128106321
1.541770986693874,4.885435274277324,7.501113252711411,3.780457255169118,0.5124004709742425
1.1579124305209982,5.052603170123175,7.463242251661963,3.57470557158131,0.42281148368248744
1.798279566913164,5.224326791649041,8.386433135898198,2.9931150718917197,0.8040066213360982
1.7651909631899732,5.258583656659705,8.069586162098494,2.9564456913267585,0.8547924960993667
1.1361879740864345,5.676982893430697,8.186801925035098,2.698442629499342,0.740078775783254
1.4723524541103377,6.275306300499884,7.923153960248725,3.0308284054602086,0.8600122685003815
